"";"Country";"Brand";"Month";"Gross.Sales";"Net.Sales";"Volume";"Mgmt_Sales";"Total_expenses";"Expense_A240";"Expense_B240";"Expense_D240";"Expense_Q240"
"1";"Canada";"AFINITOR";2012-01-01;1227600;1122867,52;61425;1122867,52;472000;268000;204000;0;0
"2";"Canada";"AFINITOR";2012-02-01;920700;837032,26;44850;837032,26;536000;222000;314000;0;0
"3";"Canada";"AFINITOR";2012-03-01;1071360;1009032,24;51900;1009032,24;601000;263000;338000;0;0
"4";"Canada";"AFINITOR";2012-04-01;1210860;1160807,51;52950;1160807,51;368000;269000;99000;0;0
"5";"Canada";"AFINITOR";2012-05-01;1244340;1233685,13;59625;1233685,13;630000;246000;384000;0;0
"6";"Canada";"AFINITOR";2012-06-01;1205280;1199782,25;56700;1199782,25;494000;226000;268000;0;0
"7";"Canada";"AFINITOR";2012-07-01;1322460;1294147,69;62850;1294147,69;483000;234000;249000;0;0
"8";"Canada";"AFINITOR";2012-08-01;1629360;1601620,89;77025;1601620,89;412000;254000;158000;0;0
"9";"Canada";"AFINITOR";2012-09-01;1216440;1191909,38;58200;1191909,38;684000;314000;370000;0;0
"10";"Canada";"AFINITOR";2012-10-01;1573560;1531478,12;69000;1531478,12;948000;322000;626000;0;0
"11";"Canada";"AFINITOR";2012-11-01;1735380;1745461,12;84825;1745461,12;648000;320000;328000;0;0
"12";"Canada";"AFINITOR";2012-12-01;1177380;946066,42;55050;946066,42;988000;475000;513000;0;0
"13";"Canada";"AFINITOR";2013-01-01;1724220;1607505,36;78225;1607505,36;579000;399000;180000;0;0
"14";"Canada";"AFINITOR";2013-02-01;1506600;1404551,49;68906,25;1404551,49;1153000;575000;578000;0;0
"15";"Canada";"AFINITOR";2013-03-01;1668420;1069326,03;68475;1069326,03;696000;459000;237000;0;0
"16";"Canada";"AFINITOR";2013-04-01;2062033,2;1882966,8;88500;1882966,8;741000;531000;210000;0;0
"17";"Canada";"AFINITOR";2013-05-01;2379423,6;2195306,91;104325;2195306,91;857000;423000;434000;0;0
"18";"Canada";"AFINITOR";2013-06-01;1770199,2;877967,25;78375;877967,25;708000;483000;225000;0;0
"19";"Canada";"AFINITOR";2013-07-01;2040327;1915806,82;91950;1915806,82;798000;497000;301000;0;0
"20";"Canada";"AFINITOR";2013-08-01;2109295,8;1942371,2;94350;1942371,2;432200;413600;18599,9999999999;0;0
"21";"Canada";"AFINITOR";2013-09-01;2247233,4;1979380,67;98925;1979380,67;716000;554800;161200;0;0
"22";"Canada";"AFINITOR";2013-10-01;2839215,6;2697588,1;123750;2697588,1;829000;510500;318500;0;0
"23";"Canada";"AFINITOR";2013-11-01;3379471,2;3366871,25;142350;3366871,25;828600;557500;271100;0;0
"24";"Canada";"AFINITOR";2013-12-01;1965610,8;1391368,25;81600;1391368,25;1127900;548700,000000001;579200;0;0
"25";"Canada";"AFINITOR";2014-01-01;2367928,8;1859779,36;105600;1859779,36;707600;559800;147800;0;0
"26";"Canada";"AFINITOR";2014-02-01;2551845,6;2229015,84;110887,5;2229015,84;741300;617300;124000;0;0
"27";"Canada";"AFINITOR";2014-03-01;2919679,2;2476276,58;129262,5;2476276,58;593400;500900;92500;0;0
"28";"Canada";"AFINITOR";2014-04-01;3105268,2;2618797,49;128100;2618797,49;647600;437800;209800;0;0
"29";"Canada";"AFINITOR";2014-05-01;3572526;2875210,81;146850;2875210,81;812700;512700;300000;0;0
"30";"Canada";"AFINITOR";2014-06-01;3127424,4;2346706,52;128700;2346706,52;936000;543300;392700;0;0
"31";"Canada";"AFINITOR";2014-07-01;3707227,8;3063518,43;148950;3063518,43;904400;466500;437900;0;0
"32";"Canada";"AFINITOR";2014-08-01;3689658;2850094,7;150337,5;2850094,7;575300;350100;225200;0;0
"33";"Canada";"AFINITOR";2014-09-01;3373401,6;1884111,27;132975;1884111,27;692800;445700;247100;0;0
"34";"Canada";"AFINITOR";2014-10-01;3865356;3146656,21;153825;3146656,21;584600;413299,999999999;171300;0;0
"35";"Canada";"AFINITOR";2014-11-01;3870382,8;3245769,44;155100;3245769,44;594600;391300;203300;0;0
"36";"Canada";"AFINITOR";2014-12-01;3806790;2969727,09;156000;2969727,09;1047000;452800;594200;0;0
"37";"Canada";"AFINITOR";2015-01-01;3624405,6;3174690,34;137962,5;3174690,34;641500;489500;152000;0;0
"38";"Canada";"AFINITOR";2015-02-01;3209416,8;2456524,64;124950;2456524,64;879300;519200;360100;0;0
"39";"Canada";"AFINITOR";2015-03-01;3466277,4;2513160,34;133882,5;2513160,34;654500;538700;115800;0;0
"40";"Canada";"AFINITOR";2015-04-01;4024856,72;3487406,99;157350;3487406,99;635700;478000;157700;0;0
"41";"Canada";"AFINITOR";2015-05-01;3571648,42;2823993,26;139995;2823993,26;607700;502600;105100;0;0
"42";"Canada";"AFINITOR";2015-06-01;3773392,38;3255426,3;147885;3255426,3;738700;528100;210600;0;0
"43";"Canada";"AFINITOR";2015-07-01;4026305,6;2940655,22;152317,5;2940655,22;701000;578700;122300;0;0
"44";"Canada";"AFINITOR";2015-08-01;3619769,04;2825165,09;145582,5;2825170,41;-995800;-1109800;114000;0;0
"45";"Canada";"AFINITOR";2015-09-01;3772759,54;2718102,46;143700;2718102,46;788100;444900;343200;0;0
"46";"Canada";"AFINITOR";2015-10-01;3776757,44;2880098,5;151425;2880098,5;691100;370400;320700;0;0
"47";"Canada";"AFINITOR";2015-11-01;3676834,72;2758112,46;139245;2758112,46;879400;380400;499000;0;0
"48";"Canada";"AFINITOR";2015-12-01;3806555,96;3039878,16;142545;3039878,16;774300;378200;396100;0;0
"49";"Canada";"AFINITOR";2016-01-01;3164795,44;2493444,45;128160;2493444,45;642700;386700;256000;0;0
"50";"Canada";"AFINITOR";2016-02-01;2916196,54;2396355,05;108746,25;2396355,05;590700;343500;247200;0;0
"51";"Canada";"AFINITOR";2016-03-01;3017068,52;2547428,31;116696,25;2547428,31;237500;188000;49500,0000000001;0;0
"52";"Canada";"AFINITOR";2016-04-01;3103848,34;2576256,39;118080;2576256,39;611900;320500;291400;0;0
"53";"Canada";"AFINITOR";2016-05-01;3301756,06;2788248,76;124440;2788248,76;426200;294800;131400;0;0
"54";"Canada";"AFINITOR";2016-06-01;3563608,76;2866915,92;134283,75;2866915,92;256700;251600;5100,00000000002;0;0
"55";"Canada";"AFINITOR";2016-07-01;3375959,33;2379826,93;128302,5;2379826,93;449400;312700;136700;0;0
"56";"Canada";"AFINITOR";2016-08-01;4271836,27;3207215,89;169522,5;3207215,89;446400;305800;140600;0;0
"57";"Canada";"AFINITOR";2016-09-01;3498891,08;2631292,62;134955;2631292,62;184800;131400;53399,9999999999;0;0
"58";"Canada";"AFINITOR";2016-10-01;3390577,97;2538003,67;132052,5;2538003,67;256200;143000;113200;0;0
"59";"Canada";"AFINITOR";2016-11-01;4682977,01;3706716,9;180945;3706716,9;217200;191800;25400,0000000001;0;0
"60";"Canada";"AFINITOR";2016-12-01;3830161,08;2828942,1;147757,5;2828942,1;362900;266200;96699,9999999998;0;0
"61";"Canada";"AFINITOR";2017-01-01;3583267,86;2611108,82;148410;2611108,82;301200;213800;87400;0;0
