"";"Country";"Brand";"Month";"Gross.Sales";"Net.Sales";"Volume";"Mgmt_Sales";"Total_expenses";"Expense_A240";"Expense_B240";"Expense_C240";"Expense_D240";"Expense_Q240"
"1";"Canada";"COSENTYX";2015-04-01;93765;89691,32;17100;89691,32;671400;250600;305300;0;0;115500
"2";"Canada";"COSENTYX";2015-05-01;152985;146790,88;27900;146790,88;536000;253300;209300;0;0;73400
"3";"Canada";"COSENTYX";2015-06-01;519820;396208,89;94800;396208,89;665900;228300;367700;0;0;69900
"4";"Canada";"COSENTYX";2015-07-01;723800;535711,82;132000;535711,82;730900;314300;266300;0;0;150300
"5";"Canada";"COSENTYX";2015-08-01;921200;585849,85;168000;585849,85;640300;227600;277000;0;0;135700
"6";"Canada";"COSENTYX";2015-09-01;1131760;750567,33;206400;750567,33;867500;249300;488600;26600;0;103000
"7";"Canada";"COSENTYX";2015-10-01;1357125;1054620,48;247500;1054620,48;1014100;344500;562000;15900;0;91700
"8";"Canada";"COSENTYX";2015-11-01;1725605;1041823,79;314700;1041823,79;1216500;298400;803600;5100;0;109400
"9";"Canada";"COSENTYX";2015-12-01;1654870;893491,58;301800;893491,58;1454100;394900;924200;0;0;135000
"10";"Canada";"COSENTYX";2016-01-01;1656515;1179039,82;302100;1179039,82;1032200;560700;392100;0;0;79400
"11";"Canada";"COSENTYX";2016-02-01;1881880;1250155,23;343200;1250155,23;1104800;487100;526500;0;0;91200
"12";"Canada";"COSENTYX";2016-03-01;2663255;1758465,99;485100;1758465,99;1228300;786800;359700;0;0;81800
"13";"Canada";"COSENTYX";2016-04-01;1893395;1036006,54;343800;1036006,54;1179400;460000;603700;0;0;115700
"14";"Canada";"COSENTYX";2016-05-01;2725765;1351470,76;497100;1351470,76;991800;396200;503200;0;0;92400
"15";"Canada";"COSENTYX";2016-06-01;3847655;1782640,91;701100;1782640,91;1141400;477000;533300;11800;0;119300
"16";"Canada";"COSENTYX";2016-07-01;3521945;1747573,55;642300;1747573,55;1123300;487200;534200;0;0;101900
"17";"Canada";"COSENTYX";2016-08-01;3815577,5;1828792,25;695850;1828792,25;1078000;409800;535900;0;0;132300
"18";"Canada";"COSENTYX";2016-09-01;3104115;1620681,73;565800;1620681,73;844799,999999999;405100;323200;0;0;116500
"19";"Canada";"COSENTYX";2016-10-01;4226005;2044824,24000001;770700;2044824,24;936800;375600;473400;0;0;87800
"20";"Canada";"COSENTYX";2016-11-01;5820010;3001079,78000001;1061400;3001079,78;1154400;499200;533900;0;0;121300
"21";"Canada";"COSENTYX";2016-12-01;4087002,5;1933558,85;745350;1933558,85;1279600;413100;772300;0;0;94200,0000000001
"22";"Canada";"COSENTYX";2017-01-01;4926775;3024555,01000001;898500;3024555,01;1315200;585900;598300;0;0;131000
"23";"Canada";"COSENTYX";2017-02-01;4611757,5;2422251,03;838950;2422250,9922;1403000;509200;759600;0;0;134200
"24";"Canada";"COSENTYX";2017-03-01;5855377,5;3172854,61000001;1066950;3172854,6797;982300;407100;457400;0;0;117800
"25";"Canada";"COSENTYX";2017-04-01;5192442,5;2704730,39000001;945750;2704730,4297;1321700;443100;723800;0;0;154800
"26";"Canada";"COSENTYX";2017-05-01;6112820;2832634,69;1113300;2832634,6563;1365400;515700;684100;0;0;165600
"27";"Canada";"COSENTYX";2017-06-01;7502022,5;4210836,68000001;1366650;4210836,6484;1517800;552500;833500;0;0;131800
